一级菜单,二级菜单,三级菜单/页面,功能点,概述
首页,—,首页概览,平台入口页面,平台门户首页（占位开发中）默认重定向至开发中心工作台
应用中心,—,应用市场,应用浏览与安装,应用市场与已安装应用管理（占位开发中）
全局（顶栏）,—,全局AI智能助手,全局AI助手,平台全局AI助手抽屉支持多轮对话提供快捷操作入口（创建智能体/查询知识库/数据分析/工具推荐/模型咨询/最佳实践/API对接/安全审查）支持消息点赞/踩/复制/重新生成/清除对话
全局（顶栏）,—,消息通知,通知中心,顶部消息通知铃铛图标显示未读消息数量角标
全局（顶栏）,—,用户菜单,用户中心,展示当前用户名/所属部门角色提供个人设置/退出登录入口
全局（顶栏）,—,鲁警门户入口,外部链接跳转,顶部独立按钮点击跳转至鲁警门户外部链接
全局（顶栏）,—,一级导航切换,模块导航,顶部导航栏展示"首页/应用中心/开发中心/运维中心/管理中心"5个一级模块
开发中心,—,工作台,空间信息展示,展示当前工作空间名称/成员数/所属部门/活跃状态/可信空间标识
开发中心,—,工作台,工作台指标卡,展示"我的智能体""空间智能体""近七天调用量""知识库文档""我的待办"等5项关键指标
开发中心,—,工作台,近七天调用量趋势图,以面积图展示一周内智能体调用量变化趋势
开发中心,—,工作台,开发流程引导（5步链路）,按"搭建智能体→接入知识与数据→配置模型与工具→测评验证→发布上线"引导开发者完成智能体上线全流程
开发中心,—,工作台,最近智能体/我的项目,展示最近更新的智能体列表含名称/类型/状态/更新时间/调用次数支持"查看运行/配置流程/继续编辑"快捷操作
开发中心,—,工作台,待办与消息,展示评测任务待处理/发布审核/模型配置提醒/资源申请进度等4类待办消息
开发中心,—,工作台,快捷入口（8个）,提供"智能体构建""智能体管理""模型管理""提示词管理""工具管理""连接器""知识库""智能体测评"8个快捷导航入口
开发中心,—,工作台,平台状态概览,实时展示"今日智能体调用""活跃用户""服务状态"3项平台状态指标
开发中心,智能体开发,智能体构建,表单构建（从零搭建）,选择智能体类型（标准/流程/自主）→子类型→填写名称/描述→选择头像→创建并跳转配置页
开发中心,智能体开发,智能体构建,对话式创建（智能构建）,以自然语言多轮对话描述需求AI自动生成智能体配置方案（仅支持自主智能体类型）
开发中心,智能体开发,智能体构建,模板构建（从模板创建）,跳转至模板市场浏览警务场景预置模板一键复制创建智能体
开发中心,智能体开发,智能体构建,标准智能体子类型（9种）,普通助手/知识库问答/智能分析问数/文档编写/数据分析报告/文件审核/智能检索/智能抽取/智能分类
开发中心,智能体开发,智能体构建,流程智能体子类型（2种）,工作流（可视化节点编排+DAG执行）/对话流（多轮对话+会话变量持久化）
开发中心,智能体开发,智能体构建,自主智能体创建,具备自主规划与工具调用能力可分解复杂目标为子任务逐步执行
开发中心,智能体开发,智能体构建,头像预设选择（6种）,警/盾/侦/析/文/答等预设头像支持自定义上传
开发中心,智能体开发,智能体管理,智能体列表（表格/卡片视图）,查看所有已创建智能体支持表格视图与卡片视图切换
开发中心,智能体开发,智能体管理,智能体筛选,按名称/描述关键字搜索按类型（标准/流程/自主）状态（已发布/草稿/已下架）筛选
开发中心,智能体开发,智能体管理,统计卡片交互筛选,点击"总数/已发布/草稿/已下架"卡片快速切换列表筛选条件
开发中心,智能体开发,智能体管理,查看智能体详情,展示智能体头像/名称/类型/状态/描述/空间/模型/调用次数/成功率/活跃用户等完整信息
开发中心,智能体开发,智能体管理,配置智能体,跳转至智能体配置页面进行提示词/模型/知识库/工具等详细配置
开发中心,智能体开发,智能体管理,复制智能体,一键复制现有智能体配置
开发中心,智能体开发,智能体管理,发布/下架智能体,将草稿智能体发布上线或将已发布智能体下架
开发中心,智能体开发,智能体管理,删除智能体,删除指定智能体
开发中心,智能体开发,智能体管理,创建智能体（3种方式）,空白智能体/基于模板创建/导入JSON配置
开发中心,智能体开发,智能体管理,快捷创建入口,直接从管理页跳转至智能体构建页创建
开发中心,智能体开发,智能体配置,左侧导航（4个Tab）,配置/发布/日志/统计四个Tab页签
开发中心,智能体开发,智能体配置,信息卡片配置,编辑智能体名称/类型/所属空间/绑定模型/描述等基础信息
开发中心,智能体开发,智能体配置,提示词配置,编写系统提示词支持变量{user_query}{result_data}{context_info}可设置风格标签（结构清晰/警务规范/数据准确）
开发中心,智能体开发,智能体配置,模型选择与参数配置,选择绑定模型（DeepSeek-Chat/DeepSeek-Reasoner/GPT-4o/Qwen-72B）配置temperature/maxTokens/topP/连续对话开关
开发中心,智能体开发,智能体配置,知识库关联配置,关联多个知识库设置检索条数和相似度阈值
开发中心,智能体开发,智能体配置,工具挂载配置,挂载插件工具/API工具/工作流工具扩展智能体能力
开发中心,智能体开发,智能体配置,开场白设置,定义智能体首次对话的开场问候语
开发中心,智能体开发,智能体配置,内容审查开关,开启/关闭AI输出内容安全审查
开发中心,智能体开发,智能体配置,版本管理,查看配置版本历史（v1.0~v1.3）标记当前生效版本与草稿版本
开发中心,智能体开发,智能体配置,发布管理,发布前检查项确认（提示词配置/知识库绑定/模型选择）一键发布至空间
开发中心,智能体开发,智能体配置,操作日志,记录智能体配置变更/发布等操作日志
开发中心,智能体开发,智能体配置,运行统计,展示智能体调用次数/成功率/Token消耗/活跃用户等运行统计数据
开发中心,智能体开发,智能体配置,实时调试预览,右侧面板提供对话调试区支持发送消息测试智能体效果查看知识库命中/工具调用/Token消耗详情
开发中心,智能体开发,智能体配置,调试消息详情,查看每条消息的提示词/请求响应内容/知识库命中片段及分数/工具调用输入输出及耗时
开发中心,智能体开发,智能体配置,会话日志查看,支持查看该智能体的历史会话记录点击会话查看详细消息内容
开发中心,智能体开发,模板市场,模板浏览与筛选,浏览系统预置警务场景模板按名称/标签/描述搜索按分类（客服应答/知识问答/数据分析/文档编写/文件审核/信息抽取等）筛选
开发中心,智能体开发,模板市场,模板统计卡片,展示模板总数/系统预置数/自定义模板数/累计使用次数
开发中心,智能体开发,模板市场,模板卡片信息,展示模板名称/分类/标签/默认模型/关联知识库数量/挂载工具数量/使用次数/是否系统预置
开发中心,智能体开发,模板市场,模板详情查看,查看模板完整信息：基本信息/系统提示词/模型参数配置/关联知识库及检索配置/挂载工具列表/开场白/内容审查设置
开发中心,智能体开发,模板市场,一键使用模板,基于选中模板一键复制创建新的智能体草稿
开发中心,智能体开发,模板市场,预置模板（10个）,110接警警情分析/电诈资金追踪研判/交通事故责任认定/刑事案情摘要生成/社区警务便民问答/走失人员协查通报/巡逻路线智能规划/笔录文书智能校对/重大活动安保风险评估/警情周报自动生成
开发中心,智能体开发,智能体测评,测评任务管理,查看所有评测任务列表含任务名称/状态/任务结果（评分/通过与否）/受测智能体/评测集/评估器/完成时间
开发中心,智能体开发,智能体测评,创建评测任务,填写任务名称→选择待评测智能体→选择评测集及版本→选择评估器（支持多选交叉验证）→设置评估器权重分配→选择执行策略（立即/定时）
开发中心,智能体开发,智能体测评,执行/终止/重测任务,对待执行任务启动执行对执行中任务终止对已完成/失败任务重新评测
开发中心,智能体开发,智能体测评,评测任务详情-统计指标,查看总体平均分/用例通过率/严重失败用例数/平均生成延时以及各评估器维度得分分布
开发中心,智能体开发,智能体测评,评测任务详情-评测明细,查看每条测试用例的输入内容/期望输出/实际输出/评分/各评估器得分及延时支持按通过/未通过筛选
